num_doc,nombre,mnt_total_trx_barrio,mnt_total_trx_cliente,%_cada_barrio
-1251935713352977475,Ciudad Los Álamos,32560836.0,39139858.0,83.191
-1252218806364446708,San Pedro,1712716880.5,1726181432.0,99.22
-125369456175603203,La Rivera,11258746.0,11285140.0,99.766
-1257137476706430364,Vipasa,96.0,96.0,100.0
-125761034719692977,Urbanización San Juaquín,302.5,302.5,100.0
-1259062897133851128,San Nicolás,19164213.0,19164727.0,99.997
-1259475724174066483,Unicentro Cali,2208842126.0,2208842126.0,100.0
-126500371157694531,Lili,132.5,132.5,100.0
-1268047437396564166,Prados del Norte,5859.0,5859.0,100.0
-1281950331994776373,San Vicente,7270413.5,7270413.5,100.0
-1282673234657495551,Los Alcázares,370.5,370.5,100.0
-1283368823802669429,San Vicente,14540827.0,14540827.0,100.0
-1283596965702720066,Urbanización Ciudad Jardín,1247.0,1247.0,100.0
-1288346641570552236,La Rivera,16267723768.0,16273643795.5,99.964
-1288347482776904641,Unicentro Cali,1107.0,1107.0,100.0
-1288784302658459107,Chipichape,5684.0,5684.0,100.0
-1290726938834909342,Lleras Restrepo II,1004710050.0,1110077701.0,90.508
-1292062671930948932,Unidad Residencial Santiago de Cali,8082.0,13924.0,58.044
-1293315007972121658,El Calvario,14586221505.0,17847199254.0,81.728
-1295252443939064770,Santander,1186.0,1186.0,100.0
-129525252234219234,Sucre,2445.0,3982.5,61.394
-1297191998461358418,Flora Industrial,2533538135.0,4775974749.0,53.048
-1298055933139489722,Urbanización Ciudad Jardín,5168069.5,5168069.5,100.0
-1298191932139915598,San Vicente,40540237.0,66408110.0,61.047
-1298651677937089772,Unidad Residencial Santiago de Cali,1656641393.0,2757687138.0,60.074
-1299064334254400101,Caney,555658594.0,721227686.5,77.043
-1299691719991944312,El Gran Limonar,1420.0,1826.0,77.766
-130529963387954022,La Alianza,1857123591.0,2329601705.5,79.719
-130532297045365668,Urbanización San Juaquín,2543.0,2543.0,100.0
-130578769378345367,Urbanización Militar,404.0,404.0,100.0
-1305878122581258358,Granada,13478642.0,25966890.0,51.907
-1307587034254884139,Sucre,538060458.0,538060458.0,100.0
-1309315167176650461,El Cedro,963963396.5,1652106946.5,58.348
-1313690120779395752,San Pedro,12130.0,12130.0,100.0
-1314898138290983135,El Sena,559.5,559.5,100.0
-1315505850619291437,El Peñón,5746804.0,5746804.0,100.0
-1320446007159476004,Salomia,94968.0,114528.0,82.921
-1322475832949262111,Calimio Desepaz,31504447.5,31593367.5,99.719
-1325782284502525518,El Troncal,403.5,403.5,100.0
-1328095636504627801,Lili,538060599.0,538060599.0,100.0
-132834003116437051,San Pedro,376.0,376.0,100.0
-133579081584431059,Ciudad Capri,1472.0,1886.5,78.028
-1341784758933861307,Chapinero,3865452195.0,3865452565.5,100.0
-1346132489307237692,Primero de Mayo,134022.0,185524.0,72.24
-134757758082114860,San Vicente,7270413.5,7270413.5,100.0
-1349990649859378382,Granada,6778593.0,12529795.0,54.1
-1352913803879379528,Urbanización Tequendama,38.5,38.5,100.0
-1359473130742023676,Buenos Aires,2462608712.5,4439760007.0,55.467
-1361774047026401567,Desepaz Invicali,3033409231.0,3577002225.5,84.803
-1366154920357571394,Urbanización Ciudad Jardín,7643511.0,14970036.5,51.059
-1367644503191897598,Lili,1652222783.5,2251208761.0,73.393
-1370043268457520937,Los Lagos,506708892.5,506710520.5,100.0
-1370352708069503116,Urbanización Militar,560609154.0,560611922.5,100.0
-1371602423836400668,Urbanización Militar,404.0,404.0,100.0
-1372758980185929880,Urbanización Militar,1375.5,1375.5,100.0
-1373028379881858393,Urbanización Militar,1212.0,1344.5,90.145
-1373858768528275629,El Cedro,375.0,375.0,100.0
-1376712551759382167,Colseguros Andes,1805437735.5,2028128504.0,89.02
-1378863339524225683,El Cedro,552211797.5,1058920690.0,52.149
-137909048117143684,Urbanización Ciudad Jardín,4988.0,4988.0,100.0
-1383596235886399827,El Cedro,750.0,1168.5,64.185
-1383945582631011079,Cuarto de Legua-Guadalupe,19726719885.0,27076236700.0,72.856
-138718049876957604,San Judas Tadeo II,506708892.0,717576498.0,70.614
-1387523745683178626,Urbanización Militar,1212.0,1212.0,100.0
-1388309318697684515,Prados del Norte,75040837.5,75087973.5,99.937
-1390315532231382387,Santander,13784616.0,13790813.5,99.955
-1391794497274932161,Prados del Norte,2929.5,4971.5,58.926
-1393464428003654116,Urbanización La Flora,418.0,418.0,100.0
-1394655733823133525,Bolivariano,1104423592.0,1104423592.0,100.0
-139831890047320584,Siete de Agosto,6411525382.5,8490321514.5,75.516
-1398488594966662239,Caldas,53711259.0,53760829.0,99.908
-1399760810545290763,Santa Mónica Residencial,5462.0,5462.0,100.0
-1404192339205048138,El Sena,3865459404.5,3891720643.5,99.325
-1404946195457318867,San Vicente,7270413.5,12438483.0,58.451
-1405343962022529837,Sucre,8608969652.0,13178293650.5,65.327
-1405518566497399830,Unicentro Cali,414.5,446.5,92.833
-1407434504683765742,Buenos Aires,22423357.5,40469061.0,55.409
-1408688440434469367,San Pedro,2613.0,2613.0,100.0
-1408860170549787800,Prados del Norte,8788.5,9530.5,92.214
-1409580691037931033,3 de Julio,7246121.5,7246121.5,100.0
-1409764267033412314,Bolivariano,552211796.0,570953593.5,96.717
-1413641593612021853,Versalles,6105896.5,6105896.5,100.0
-1417017357987223694,El Sena,3865458285.5,3865458285.5,100.0
-1419232855762452366,Urbanización San Juaquín,5651804.5,5660423.5,99.848
-14200249250356990,San Fernando Nuevo,15913130.5,30040681.0,52.972
-1421105665458251392,Prados del Norte,2929.5,2929.5,100.0
-1422457522604410228,Unicentro Cali,9948.0,18585.0,53.527
-1425427794245662921,Granada,10336055.0,10336055.0,100.0
-1427245355070822928,Santa Mónica Residencial,850.5,850.5,100.0
-1427383805176490744,Urbanización San Juaquín,2803046953.0,3959334034.0,70.796
-1430874669363678418,San Vicente,2417.5,2417.5,100.0
-1431070158874805508,El Peñón,811360204.5,811360204.5,100.0
-1432193600095817623,Granada,7783456.0,12951525.5,60.097
-1434862213173682990,Urbanización Tequendama,38.5,38.5,100.0
